"#","Reference","Value","Qty","Footprint","Datasheet","P/N","Mouser Part Number","Link","DNP"
"1","BAT1","ML414","1","DataAcqLeaderBoard-Footprints:BAT_2994TR","https://www.mouser.com/ProductDetail/Keystone-Electronics/2994TR?qs=BMR1h6ig6pBQGK4xQ7FwKQ%3D%3D","2994TR","534-2994TR","https://www.mouser.com/ProductDetail/Keystone-Electronics/2994TR?qs=BMR1h6ig6pBQGK4xQ7FwKQ%3D%3D",""
"2","C1,C9","10u","2","Capacitor_SMD:C_0805_2012Metric","~","TCP0J106M8R ","755-TCP0J106M8R ","https://www.mouser.com/ProductDetail/KYOCERA-AVX/TCP0J106M8R?qs=gmcn8Ik9O3HZ%252B34S5YYCCQ%3D%3D",""
"3","C2,C4,C5,C14,C15,C17,C18","1u","7","Capacitor_SMD:C_0805_2012Metric","~","C0805C105J4RAC7210","80-C0805C105J4RACLR ","https://www.mouser.com/ProductDetail/KEMET/C0805C105J4RAC7210?qs=7zB%252BIQS%2FKOJG%252BUtduyFhHw%3D%3D",""
"4","C3","47p","1","Capacitor_SMD:C_0805_2012Metric","~","C0805C470F5GACTU","80-C0805C470F5G ","https://www.mouser.com/ProductDetail/KEMET/C0805C470F5GACTU?qs=fI854BrZEijgUEI6lxo0jA%3D%3D",""
"5","C6,C7,C8","100u","3","Capacitor_SMD:C_0805_2012Metric","~","TCTPL0G107M8R-V1 ","755-TCTPL0G107M8R-V1 ","https://www.mouser.com/ProductDetail/KYOCERA-AVX/TCTPL0G107M8R-V1?qs=Y0Uzf4wQF3nuA76NpVN8fA%3D%3D",""
"6","C10,C13","10n","2","Capacitor_SMD:C_0805_2012Metric","~","C0805C103F8HACAUTO ","80-C0805C103F8HAUTO ","https://www.mouser.com/ProductDetail/KEMET/C0805C103F8HACAUTO?qs=j%252B1pi9TdxUbLXPjCpdS2Hw%3D%3D",""
"7","C11","56p","1","Capacitor_SMD:C_0805_2012Metric","~","C0805C560FBGACTU","80-C0805C560FBG ","https://www.mouser.com/ProductDetail/KEMET/C0805C560FBGACTU?qs=7IaIRco65pnJB5L%2Foom%252BKQ%3D%3D",""
"8","C12","10p","1","Capacitor_SMD:C_0805_2012Metric","~","C0805C100F1GACTU","80-C0805C100F1GACTU ","https://www.mouser.com/ProductDetail/KEMET/C0805C100F1GACTU?qs=sowatxGsQyzyczo0gS71EQ%3D%3D",""
"9","C16","100n","1","Capacitor_SMD:C_0805_2012Metric","~","C0805C104M5RACTU","80-C0805C104M5R ","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D&srsltid=AfmBOooDAjIt8hpAKLpOIGKqvkv8Ty8ZpBJjEzJCyPzooeik1esCGJi1",""
"10","D1,D2,D3,D4,D5,D6,D7,D8","-- mixed values --","8","LED_SMD:LED_0805_2012Metric","","APTD2012LCGCK ","604-APTD2012LCGCK","https://www.mouser.com/ProductDetail/Kingbright/APTD2012LCGCK?qs=AQlKX63v8RvNHN%2F9EGvNTg%3D%3D",""
